City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Komsomolskiy,UZ,2021-01-17 23:01:49,40.4272,71.7189,35.6,55,95,6.91
93,Araure,VE,2021-01-17 23:01:50,9.5601,-69.2148,82.4,51,20,9.22
94,Acarau,BR,2021-01-17 23:01:50,-2.8856,-40.12,79.97,79,88,14.58
95,Kununurra,AU,2021-01-17 23:01:50,-15.7667,128.7333,84.2,65,35,4.61
96,Coos Bay,US,2021-01-17 23:01:50,43.3665,-124.2179,57.99,87,1,18.41
97,Dong Xoai,VN,2021-01-17 23:00:04,11.5333,106.9167,66.43,64,4,7.11
98,Teguldet,RU,2021-01-17 23:01:50,57.3064,88.1667,14.45,95,100,10.96
99,Vao,NC,2021-01-17 23:01:50,-22.6667,167.4833,77.54,81,69,12.41
100,Inirida,CO,2021-01-17 23:01:51,3.8653,-67.9239,76.12,92,80,1.59
101,Virden,US,2021-01-17 23:01:51,39.5009,-89.7679,30.99,86,100,11.99
102,East London,ZA,2021-01-17 23:01:51,-33.0153,27.9116,69.96,72,94,4.47
103,Ilulissat,GL,2021-01-17 23:01:51,69.2167,-51.1,21.2,79,75,13.8
104,Barhi,IN,2021-01-17 23:01:51,23.9,80.8,52.38,43,0,3.51
105,Karakulino,RU,2021-01-17 23:01:52,56.012,53.7067,-10.93,90,11,4.12
106,Grindavik,IS,2021-01-17 23:01:52,63.8424,-22.4338,33.8,93,90,17.27
107,Longyearbyen,SJ,2021-01-17 23:01:52,78.2186,15.6401,19.4,68,75,32.21
108,Provideniya,RU,2021-01-17 23:01:52,64.3833,-173.3,-2.2,65,90,11.18
109,Sao Joao Da Barra,BR,2021-01-17 23:01:52,-21.6403,-41.0511,76.28,85,11,13.98
110,Ryotsu,JP,2021-01-17 23:01:53,38.0833,138.4333,28.4,93,75,6.91
111,Lavrentiya,RU,2021-01-17 23:01:53,65.5833,-171.0,-10.97,82,100,10.02
112,Moose Factory,CA,2021-01-17 23:01:53,51.2585,-80.6094,8.6,85,20,8.05
113,Namatanai,PG,2021-01-17 23:01:53,-3.6667,152.4333,84.49,69,74,12.84
114,Port Blair,IN,2021-01-17 23:01:53,11.6667,92.75,79.83,77,30,17.52
115,Narsaq,GL,2021-01-17 23:01:53,60.9167,-46.05,21.2,68,75,6.87
116,Laguna,US,2021-01-17 23:01:54,38.421,-121.4238,71.01,43,1,1.43
117,Clyde River,CA,2021-01-17 23:01:54,70.4692,-68.5914,6.8,92,90,25.32
118,Coaraci,BR,2021-01-17 23:01:54,-14.6408,-39.5511,80.6,78,40,8.05
119,Dwarka,IN,2021-01-17 23:01:54,22.2394,68.9678,67.73,64,0,12.37
120,Nikolskoye,RU,2021-01-17 23:01:54,59.7035,30.7861,18.0,93,75,6.71
