City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
482,San Lorenzo,PY,2021-01-18 01:18:40,-25.3333,-57.5333,69.8,88,0,6.91,clear sky
483,Damaturu,NG,2021-01-18 01:18:40,11.747,11.9608,68.61,23,16,9.22,few clouds
484,Neyshabur,IR,2021-01-18 01:09:34,36.2133,58.7958,40.98,62,0,0.22,clear sky
485,Bitung,ID,2021-01-18 01:18:41,1.4451,125.1824,84.2,79,40,5.75,scattered clouds
486,San Ignacio,BZ,2021-01-18 01:18:41,17.1561,-89.0714,73.4,88,0,3.31,clear sky
487,San Andres,CO,2021-01-18 01:18:41,12.5847,-81.7006,78.8,89,90,12.66,light rain
488,Ust-Maya,RU,2021-01-18 01:18:41,60.4167,134.5333,-49.05,76,75,0.81,broken clouds
489,San Antonio,US,2021-01-18 01:17:57,29.4241,-98.4936,62.6,54,1,2.48,clear sky
490,Camacha,PT,2021-01-18 01:18:42,33.0833,-16.3333,57.2,62,75,3.44,broken clouds
491,Kalangala,UG,2021-01-18 01:18:42,-0.3089,32.225,73.53,71,98,6.96,overcast clouds
492,Chapaevsk,RU,2021-01-18 01:18:42,52.9813,49.7112,-7.6,84,0,3.49,clear sky
493,Tilichiki,RU,2021-01-18 01:18:43,60.4667,166.1,-15.68,84,100,17.09,overcast clouds
494,Okrika,NG,2021-01-18 01:18:43,4.7416,7.0849,77.0,94,20,4.14,few clouds
495,Marzuq,YE,2021-01-18 01:12:32,14.4,46.4667,57.02,51,15,1.63,few clouds
496,Garowe,SO,2021-01-18 01:18:43,8.4054,48.4845,66.69,61,0,5.46,clear sky
497,Hirara,JP,2021-01-18 01:12:34,24.8,125.2833,59.0,63,75,6.91,broken clouds
498,Udachnyy,RU,2021-01-18 01:07:01,66.4167,112.4,-36.33,81,100,1.52,overcast clouds
499,Moron,AR,2021-01-18 01:12:33,-34.6534,-58.6198,73.0,54,0,10.02,clear sky
500,Sao Felix Do Xingu,BR,2021-01-18 01:09:11,-6.6447,-51.995,72.52,93,58,0.34,broken clouds
501,Salalah,OM,2021-01-18 01:12:20,17.0151,54.0924,62.6,27,0,3.44,clear sky
502,Sokoto,NG,2021-01-18 01:18:44,13.0609,5.239,70.47,22,1,12.21,clear sky
503,Krasnogorsk,RU,2021-01-18 01:18:44,55.8225,37.3181,-9.4,84,20,4.47,few clouds
504,Yenagoa,NG,2021-01-18 01:18:44,4.9247,6.2642,76.41,90,90,4.12,overcast clouds
505,Olafsvik,IS,2021-01-18 01:18:45,64.8945,-23.7142,35.42,91,100,9.42,overcast clouds
506,Hami,CN,2021-01-18 01:10:40,42.8,93.45,12.2,77,0,2.08,clear sky
507,Strezhevoy,RU,2021-01-18 01:14:08,60.7333,77.5889,-7.6,84,40,6.71,scattered clouds
508,Dudinka,RU,2021-01-18 01:18:45,69.4058,86.1778,-6.56,89,100,7.99,overcast clouds
509,Buta,CD,2021-01-18 01:18:45,2.7858,24.73,69.8,70,100,1.97,overcast clouds
510,Yuzhno-Kurilsk,RU,2021-01-18 01:18:45,44.0306,145.8556,24.19,93,100,11.79,overcast clouds
511,Flagstaff,US,2021-01-18 01:15:18,35.1981,-111.6513,46.4,7,1,4.61,clear sky
