City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
463,Praia,CV,69.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
465,Luena,AO,63.57,overcast clouds,-11.7833,19.9167,Hotel Kandamba
468,Ghanzi,BW,73.89,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
471,Matadi,CD,74.71,overcast clouds,-5.8167,13.45,Hotel Fortune
472,Doha,QA,68.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
473,Sayaxche,GT,68.68,broken clouds,16.5167,-90.1667,Hotel y Auto Hotel Arizona
478,Lakatoro,VU,86.2,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
479,Araguacu,BR,74.14,light rain,-12.9306,-49.8264,Hotel Tocantins
480,Grajau,BR,73.83,overcast clouds,-5.8194,-46.1386,Hotel Confiança
482,San Lorenzo,PY,69.8,clear sky,-25.3333,-57.5333,Canarias Hotel
483,Damaturu,NG,68.61,few clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
485,Bitung,ID,84.2,scattered clouds,1.4451,125.1824,K2 Lembeh
486,San Ignacio,BZ,73.4,clear sky,17.1561,-89.0714,Rainforest Haven Inn
487,San Andres,CO,78.8,light rain,12.5847,-81.7006,Hotel Arena Blanca
489,San Antonio,US,62.6,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
491,Kalangala,UG,73.53,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
494,Okrika,NG,77.0,few clouds,4.7416,7.0849,ayo mutiaru f
496,Garowe,SO,66.69,clear sky,8.4054,48.4845,Curubo Hotel
499,Moron,AR,73.0,clear sky,-34.6534,-58.6198,Hotel Morón
500,Sao Felix Do Xingu,BR,72.52,broken clouds,-6.6447,-51.995,Rio Xingu Camping
501,Salalah,OM,62.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
502,Sokoto,NG,70.47,clear sky,13.0609,5.239,Grand Ibro Hotel
504,Yenagoa,NG,76.41,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
509,Buta,CD,69.8,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
512,Jesus Carranza,MX,69.91,broken clouds,17.4333,-95.0333,Departamento Doris
514,Teahupoo,PF,86.0,scattered clouds,-17.8333,-149.2667,Vanira Lodge
517,Mbuyapey,PY,72.82,overcast clouds,-26.2,-56.75,Cabaña AM
519,Mackay,AU,82.99,broken clouds,-21.15,149.2,International Lodge Motel
521,Taltal,CL,65.07,clear sky,-25.4,-70.4833,Residencial Karime
522,Bluefields,NI,75.45,overcast clouds,12.0137,-83.7635,Flamingo Hotel and Casino
523,Lagoa,PT,61.72,clear sky,39.05,-27.9833,Casa Das Faias
524,Pringsewu,ID,78.06,light rain,-5.3582,104.9744,Urban Style by Front One
525,San Jose,US,73.4,scattered clouds,37.3394,-121.895,The Westin San Jose
528,Pundaguitan,PH,77.63,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
529,Lorengau,PG,85.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
530,Bocaiuva,BR,67.59,broken clouds,-17.1078,-43.815,Hotel Maxim's
531,Camana,PE,71.37,scattered clouds,-16.6228,-72.7111,Hostal Morales
533,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
538,Kwinana,AU,86.0,scattered clouds,-32.25,115.7667,Rockingham Apartments
541,Ife,NG,71.87,overcast clouds,7.4667,4.5667,Glory Suites
542,Mwinilunga,ZM,61.97,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
544,Carora,VE,73.15,clear sky,10.1755,-70.0827,Hotel Irpinia
545,Champerico,GT,82.4,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
546,Nsoko,SZ,60.8,clear sky,-27.0333,31.95,
550,Labuan,MY,75.2,light rain,5.2767,115.2417,Tiara Labuan Hotel
551,Aguascalientes,MX,68.0,few clouds,21.8833,-102.3,Hotel Francia Aguascalientes
554,Seddon,AU,69.01,overcast clouds,-37.8068,144.8916,AKOM AT DOCKLANDS
555,Sao Miguel Do Araguaia,BR,74.16,heavy intensity rain,-13.275,-50.1628,Hotel Executivo Palace
556,Tabuk,PH,68.36,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
559,Vao,NC,78.03,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
561,Kailua,US,80.6,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
562,San Fernando,PH,78.8,broken clouds,15.0286,120.6898,Maharlika Hostel
565,Banda Aceh,ID,78.48,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
568,San Ramon,US,68.0,clear sky,37.7799,-121.978,San Ramon Marriott
569,Menongue,AO,62.94,overcast clouds,-14.6585,17.691,Ritz Lauca
571,Basco,PH,69.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
573,Dangriga,BZ,73.4,few clouds,16.9692,-88.2321,Chaleanor Hotel
574,Samarai,PG,85.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
